,Entity Id,SKU,Image1,Image2,Image3,Image4,Image5,Image6,Image7,Image8,Image9,Image10,Image11,Image12
0,785,07-1622-01,/0/7/07-1622_sol_hat_lilac_1.jpg,,,,,,,,,,,
1,787,07-1623-01,/0/7/07-1623_sol_hat_sage_1.jpg,,,,,,,,,,,
2,783,07-1624-01,/0/7/07-1624_sol_hat_aqua_1.jpg,,,,,,,,,,,
3,788,07-1625-01,/0/7/07-1625_sol_hat_tan_1.jpg,,,,,,,,,,,
4,786,07-1626-01,/0/7/07-1626_sol_hat_royal_1.jpg,,,,,,,,,,,
5,791,07-1640-G,/0/7/07-1640_womens_bahia_green_1.jpg,,,,,,,,,,,
6,792,07-1640-L,/0/7/07-1640_womens_bahia_lime_1.jpg,,,,,,,,,,,
7,793,07-1640-P,/0/7/07-1640_womens_bahia_pink_1.jpg,,,,,,,,,,,
8,794,07-1640-T,/0/7/07-1640_womens_bahia_tan_1.jpg,,,,,,,,,,,
9,795,07-1640-Y,/0/7/07-1640_womens_bahia_yellow_1.jpg,,,,,,,,,,,
10,798,09-1650-L/XL-B,/0/9/09-1650_cabo_hat_blue_1_1.jpg,,,,,,,,,,,
11,800,09-1650-L/XL-T,/0/9/09-1650_cabo_hat_tan_1_1.jpg,,,,,,,,,,,
12,797,09-1650-S/M-B,/0/9/09-1650_cabo_hat_blue_1.jpg,,,,,,,,,,,
13,799,09-1650-S/M-T,/0/9/09-1650_cabo_hat_tan_1.jpg,,,,,,,,,,,
14,802,09-1660-A,/0/9/09-1660_pacifico_hat_aqua_1.jpg,,,,,,,,,,,
15,803,09-1660-C,/0/9/09-1660_pacifico_hat_cream_1.jpg,,,,,,,,,,,
16,804,09-1660-LG,/0/9/09-1660_pacifico_hat_light_green_1.jpg,,,,,,,,,,,
17,805,09-1660-R,/0/9/09-1660_pacifico_hat_royal_1.jpg,,,,,,,,,,,
18,806,09-1660-T,/0/9/09-1660_pacifico_hat_tan_1.jpg,,,,,,,,,,,
19,809,09-1680-A,/0/9/09-1680_playa_bucket_aqua_1.jpg,,,,,,,,,,,
20,808,09-1680-C,/0/9/09-1680_playa_bucket_cream_1.jpg,,,,,,,,,,,
