,vc1,vc2,vc,vc_int
0,9-1-36(a),22-2-61,9-1-36(a),119
1,61-63.0600,22-2-88(b),61-63.0600,60
2,9-1-36(a),22-2-43,9-1-36(a),119
3,9-1-36(a),22-2-88(b),9-1-36(a),119
4,9-1-36(a),22-2-45,9-1-36(a),119
5,9-1-36(a),22-2-88(b),9-1-36(a),119
6,61-63.0500,9-1-110(a),61-63.0500,59
7,61-63.0100,22-2-88(b),61-63.0100,58
8,61-63.0100,22-2-88(b),61-63.0100,58
9,61-63.0600,22-2-88(b),61-63.0600,60
10,61-63.0600,9-1-104,61-63.0600,60
11,61-63.0100,22-2-88(b),61-63.0100,58
12,61-63.0600,22-2-88(b),61-63.0600,60
13,61-63.0600,9-1-104,61-63.0600,60
14,61-63.0600,22-2-45,61-63.0600,60
15,61-63.0600,22-2-88(b),61-63.0600,60
16,61-63.0600,22-2-88(b),61-63.0600,60
17,61-63.0600,22-2-88(b),61-63.0600,60
18,61-63.0100,22-2-88(b),61-63.0100,58
19,61-63.0100,9-1-36(a),61-63.0100,58
20,61-63.0100,61-5-18,61-63.0100,58
21,61-63.0600,22-2-88(b),61-63.0600,60
22,61-63.0600,22-2-88(b),61-63.0600,60
23,61-63.0600,9-1-104,61-63.0600,60
24,61-63.0100,22-2-88(b),61-63.0100,58
25,61-63.0100,22-2-88(b),61-63.0100,58
26,9-1-103(C),22-2-88(b),9-1-103(C),74
27,22-2-83(a)(b)(c),22-2-88(b),22-2-83(a)(b)(c),25
28,9-1-36(a),22-2-43,9-1-36(a),119
29,22-2-83(a)(b)(c),22-2-88(b),22-2-83(a)(b)(c),25
30,9-1-36(a),22-2-88(b),9-1-36(a),119
31,9-1-36(a),22-2-88(b),9-1-36(a),119
32,9-1-36(a),9-1-104,9-1-36(a),119
33,9-1-36(a),9-1-104,9-1-36(a),119
34,9-1-36(a),22-2-88(b),9-1-36(a),119
35,9-1-36(a),9-1-104,9-1-36(a),119
36,9-1-36(a),22-2-88(b),9-1-36(a),119
37,9-1-36(a),22-2-88(b),9-1-36(a),119
38,9-1-36(a),9-1-110(a),9-1-36(a),119
39,9-1-36(a),22-2-88(b),9-1-36(a),119
40,9-1-36(a),22-2-88(b),9-1-36(a),119
41,9-1-36(a),9-1-104,9-1-36(a),119
42,9-1-36(a),22-2-88(b),9-1-36(a),119
43,9-1-36(a),22-2-61,9-1-36(a),119
44,9-1-36(a),22-2-45,9-1-36(a),119
45,9-1-36(a),22-2-61,9-1-36(a),119
46,9-1-36(a),22-2-45,9-1-36(a),119
47,9-1-36(a),9-1-104,9-1-36(a),119
48,9-1-36(a),22-2-61,9-1-36(a),119
49,9-1-36(a),22-2-61,9-1-36(a),119
50,9-1-36(a),9-1-104,9-1-36(a),119
51,9-1-36(a),22-2-61,9-1-36(a),119
52,9-1-36(a),22-2-61,9-1-36(a),119
53,22-2-83(a)(b)(c),22-2-61,22-2-83(a)(b)(c),25
54,61-63.0600,22-2-43,61-63.0600,60
55,9-1-36(a),22-2-61,9-1-36(a),119
56,9-1-36(a),22-2-61,9-1-36(a),119
57,9-1-36(a),22-2-88(b),9-1-36(a),119
58,9-1-36(a),22-2-61,9-1-36(a),119
59,9-1-36(a),22-2-61,9-1-36(a),119
60,61-63.0100,22-2-88(b),61-63.0100,58
61,61-63.0100,22-2-88(b),61-63.0100,58
62,9-1-36(a),9-1-104,9-1-36(a),119
63,9-1-36(a),22-2-88(b),9-1-36(a),119
64,9-1-36(a),9-1-36(a),9-1-36(a),119
65,9-1-36(a),9-1-43(a) - (Structu,9-1-36(a),119
66,9-1-36(a),9-1-81(a),9-1-36(a),119
67,9-1-36(a),9-1-83 - (Structures,9-1-36(a),119
68,9-1-36(a),22-2-61,9-1-36(a),119
69,22-2-21(b),22-2-88(b),22-2-21(b),10
70,9-1-36(a),22-2-88(b),9-1-36(a),119
71,9-1-36(a),22-2-88(b),9-1-36(a),119
72,9-1-36(c),22-2-61,9-1-36(c),120
73,9-1-36(a),22-2-61,9-1-36(a),119
74,9-1-36(a),22-2-88(b),9-1-36(a),119
75,9-1-36(a),9-1-104,9-1-36(a),119
76,22-2-17,22-2-88(b),22-2-17,7
77,22-2-17,9-1-104,22-2-17,7
78,9-1-36(a),22-2-88(b),9-1-36(a),119
79,9-1-36(a),22-2-61,9-1-36(a),119
80,22-2-83(a)(b)(c),22-2-61,22-2-83(a)(b)(c),25
81,9-1-36(a),22-2-88(b),9-1-36(a),119
82,9-1-36(a),22-2-88(b),9-1-36(a),119
83,9-1-36(a),22-2-88(b),9-1-36(a),119
84,9-1-36(a),22-2-61,9-1-36(a),119
85,9-1-36(a),22-2-88(b),9-1-36(a),119
86,22-2-49,9-1-104,22-2-49,19
87,9-1-36(a),22-2-43,9-1-36(a),119
88,9-1-36(a),22-2-88(b),9-1-36(a),119
89,9-1-36(a),22-2-61,9-1-36(a),119
90,9-1-36(a),22-2-88(b),9-1-36(a),119
91,9-1-36(a),22-2-88(b),9-1-36(a),119
92,9-1-36(a),22-2-88(b),9-1-36(a),119
93,22-2-17,22-2-61,22-2-17,7
94,9-1-36(a),22-2-88(b),9-1-36(a),119
95,61-63.0100,9-1-105,61-63.0100,58
96,9-1-36(a),22-2-88(b),9-1-36(a),119
97,9-1-36(a),9-1-104,9-1-36(a),119
